onset,duration,parametric_modulation
0,4,0
4,4,0
8,4,0
12,4,0
16,4,0
20,4,0
24,4,0
28,4,0
32,4,0
36,4,0
40,4,0
44,4,0
48,4,0
52,4,0
56,4,0
60,4,0
64,4,0
68,4,0
72,4,0
76,4,0
80,4,0
84,4,0
88,4,0
92,4,0
96,4,0
100,4,0
104,4,0
108,4,0
112,4,0
116,4,0
120,4,0
124,4,0
128,4,0
132,4,0
136,4,0
140,4,0
144,4,0
148,4,0
152,4,0
156,4,0
160,4,0
164,4,0
168,4,0
172,4,0
176,4,0
180,4,0
184,4,0
188,4,0
192,4,0
196,4,0
200,4,0
204,4,0
208,4,0
212,4,0
216,4,0
220,4,0
224,4,0
228,4,0
232,4,0
236,4,0
240,4,1
244,4,1
248,4,1
252,4,1
256,4,1
260,4,1
264,4,1
268,4,1
272,4,1
276,4,1
280,4,1
284,4,1
288,4,1
292,4,1
296,4,1
300,4,1
304,4,1
308,4,1
312,4,1
316,4,1
320,4,1
324,4,1
328,4,1
332,4,1
336,4,1
340,4,1
344,4,1
348,4,1
352,4,1
356,4,1
360,4,1
364,4,1
368,4,1
372,4,1
376,4,1
380,4,1
384,4,1
388,4,1
392,4,1
396,4,1
400,4,1
404,4,1
408,4,1
412,4,1
416,4,0
420,4,0
424,4,0
428,4,0
432,4,0
436,4,0
440,4,0
444,4,0
448,4,0
452,4,0
456,4,0
460,4,0
464,4,0
468,4,0
472,4,0
476,4,0
480,4,0
484,4,0
488,4,0
492,4,0
496,4,0
500,4,0
504,4,0
508,4,1
512,4,1
516,4,0
520,4,0
524,4,0
528,4,0
532,4,0
536,4,0
540,4,0
544,4,0
548,4,0
552,4,0
556,4,0
560,4,0
564,4,0
568,4,0
572,4,0
576,4,0
580,4,0
584,4,0
588,4,0
592,4,0
596,4,0
600,4,0
604,4,0
608,4,0
612,4,0
616,4,0
620,4,0
624,4,0
628,4,0
632,4,1
636,4,1
640,4,1
644,4,0
648,4,1
652,4,1
656,4,1
660,4,1
664,4,1
668,4,1
672,4,1
676,4,1
680,4,1
684,4,1
688,4,1
692,4,1
696,4,1
700,4,1
704,4,1
708,4,1
712,4,1
716,4,1
720,4,1
724,4,1
728,4,1
732,4,1
736,4,1
740,4,1
744,4,1
748,4,1
752,4,1
756,4,0
760,4,1
764,4,1
768,4,1
772,4,1
776,4,1
780,4,1
784,4,1
788,4,1
792,4,1
796,4,1
800,4,0
804,4,0
808,4,0
812,4,0
816,4,0
820,4,0
824,4,0
828,4,0
832,4,0
836,4,0
840,4,0
844,4,0
848,4,0
852,4,0
856,4,0
860,4,0
864,4,0
868,4,0
872,4,0
876,4,0
880,4,0
884,4,0
888,4,0
892,4,0
896,4,0
900,4,0
904,4,0
908,4,0
912,4,0
916,4,0
920,4,0
924,4,0
928,4,0
932,4,0
936,4,0
940,4,0
944,4,0
948,4,0
952,4,0
956,4,0
960,4,0
964,4,0
968,4,0
972,4,0
976,4,0
980,4,0
984,4,0
988,4,0
992,4,0
996,4,0
1000,4,0
1004,4,0
1008,4,0
1012,4,0
1016,4,0
1020,4,0
1024,4,0
1028,4,0
1032,4,0
1036,4,0
1040,4,0
1044,4,0
1048,4,0
1052,4,0
1056,4,0
1060,4,0
1064,4,0
1068,4,0
1072,4,0
1076,4,0
1080,4,0
1084,4,0
1088,4,0
1092,4,0
1096,4,0
1100,4,0
1104,4,0
1108,4,0
1112,4,0
1116,4,0
1120,4,0
1124,4,0
1128,4,0
1132,4,1
1136,4,1
1140,4,1
1144,4,1
1148,4,1
1152,4,1
1156,4,1
1160,4,1
1164,4,1
1168,4,1
1172,4,1
1176,4,1
1180,4,1
1184,4,1
1188,4,1
1192,4,1
1196,4,1
1200,4,1
1204,4,1
1208,4,1
1212,4,1
1216,4,1
1220,4,1
1224,4,1
1228,4,1
1232,4,1
1236,4,1
1240,4,1
1244,4,1
1248,4,1
1252,4,1
1256,4,1
1260,4,1
1264,4,1
1268,4,1
1272,4,0
1276,4,0
1280,4,0
1284,4,0
1288,4,0
1292,4,0
1296,4,0
1300,4,0
1304,4,0
1308,4,0
1312,4,0
1316,4,0
1320,4,0
1324,4,0
1328,4,0
1332,4,0
1336,4,0
