EmotionCategory,Probability,FrameID
Adoration,0.0006223617,frame00001
Aesthetic Appreciation,0.0006264178,frame00001
Amusement,0.001458194,frame00001
Anxiety,0.8410851,frame00001
Awe,0.009795168,frame00001
Boredom,0.0002877874,frame00001
Confusion,0.0010445,frame00001
Craving,0.001693037,frame00001
Disgust,0.0008956404,frame00001
Empathic Pain,0.0001983014,frame00001
Entrancement,0.0005377237,frame00001
Excitement,0.0005849308,frame00001
Fear,0.02066942,frame00001
Horror,0.01986798,frame00001
Interest,0.000611781,frame00001
Joy,0.0002343207,frame00001
Romance,0.0003126545,frame00001
Sadness,0.09921052,frame00001
Sexual Desire,0.0001525325,frame00001
Surprise,0.0001116179,frame00001
Adoration,2.856372e-05,frame00009
Aesthetic Appreciation,0.001410348,frame00009
Amusement,4.353429e-05,frame00009
Anxiety,0.01206085,frame00009
Awe,0.9758816,frame00009
Boredom,0.0001771943,frame00009
Confusion,1.527906e-05,frame00009
Craving,3.010327e-06,frame00009
Disgust,8.44735e-06,frame00009
Empathic Pain,5.139648e-06,frame00009
Entrancement,4.344661e-05,frame00009
Excitement,9.117459e-05,frame00009
Fear,0.001856043,frame00009
Horror,0.004574543,frame00009
Interest,0.0001610208,frame00009
Joy,1.517098e-05,frame00009
Romance,1.997469e-06,frame00009
Sadness,0.003616069,frame00009
Sexual Desire,6.67393e-07,frame00009
Surprise,6.181292e-06,frame00009
Adoration,5.666683e-07,frame00017
Aesthetic Appreciation,0.01799203,frame00017
Amusement,8.767483e-06,frame00017
Anxiety,0.0008623074,frame00017
Awe,0.9710863,frame00017
Boredom,0.0002381092,frame00017
Confusion,1.858688e-06,frame00017
Craving,1.893129e-06,frame00017
Disgust,3.77056e-06,frame00017
Empathic Pain,3.280021e-06,frame00017
Entrancement,4.9989e-05,frame00017
Excitement,6.290047e-05,frame00017
Fear,0.001296395,frame00017
Horror,0.006194407,frame00017
Interest,0.0004111458,frame00017
Joy,8.93262e-07,frame00017
Romance,1.078931e-07,frame00017
Sadness,0.001784068,frame00017
Sexual Desire,3.644152e-08,frame00017
Surprise,1.210346e-06,frame00017
Adoration,2.877517e-09,frame00025
Aesthetic Appreciation,0.1510928,frame00025
Amusement,3.361627e-06,frame00025
Anxiety,3.374421e-05,frame00025
Awe,0.847133,frame00025
Boredom,6.346215e-05,frame00025
Confusion,4.387601e-07,frame00025
Craving,2.552908e-07,frame00025
Disgust,3.734241e-08,frame00025
Empathic Pain,7.483304e-07,frame00025
Entrancement,2.031474e-06,frame00025
Excitement,1.020786e-05,frame00025
Fear,0.0001190177,frame00025
Horror,0.0009962104,frame00025
Interest,0.0001811842,frame00025
Joy,1.909444e-08,frame00025
Romance,1.116904e-08,frame00025
Sadness,0.0003634392,frame00025
Sexual Desire,3.217274e-09,frame00025
Surprise,6.384285e-08,frame00025
Adoration,7.742687e-10,frame00033
Aesthetic Appreciation,0.5321236,frame00033
Amusement,1.420236e-05,frame00033
Anxiety,7.665221e-06,frame00033
Awe,0.4664614,frame00033
Boredom,4.320255e-05,frame00033
Confusion,1.236695e-06,frame00033
Craving,1.269088e-07,frame00033
Disgust,8.88873e-09,frame00033
Empathic Pain,1.754161e-06,frame00033
Entrancement,6.428314e-07,frame00033
Excitement,1.065325e-05,frame00033
Fear,6.093861e-05,frame00033
Horror,0.0007182549,frame00033
Interest,0.0001183423,frame00033
Joy,1.308617e-08,frame00033
Romance,7.310526e-09,frame00033
Sadness,0.0004377657,frame00033
Sexual Desire,2.632686e-09,frame00033
Surprise,6.775988e-08,frame00033
Adoration,9.676905e-10,frame00041
Aesthetic Appreciation,0.8139845,frame00041
Amusement,0.0001487327,frame00041
Anxiety,1.17583e-05,frame00041
Awe,0.1840841,frame00041
Boredom,0.0001022539,frame00041
Confusion,7.382429e-06,frame00041
Craving,2.193006e-07,frame00041
Disgust,6.986414e-09,frame00041
Empathic Pain,1.109838e-05,frame00041
Entrancement,6.844793e-07,frame00041
Excitement,0.0001004933,frame00041
Fear,0.0001273749,frame00041
Horror,0.0004689867,frame00041
Interest,0.0003247586,frame00041
Joy,2.253346e-08,frame00041
Romance,5.723491e-09,frame00041
Sadness,0.0006270778,frame00041
Sexual Desire,4.128354e-09,frame00041
Surprise,5.412091e-07,frame00041
Adoration,6.828109e-10,frame00049
Aesthetic Appreciation,0.9135615,frame00049
Amusement,0.0001722585,frame00049
Anxiety,1.32311e-05,frame00049
Awe,0.08458935,frame00049
Boredom,8.56903e-05,frame00049
Confusion,6.598104e-06,frame00049
Craving,1.310869e-07,frame00049
Disgust,5.826998e-09,frame00049
Empathic Pain,1.327324e-05,frame00049
Entrancement,3.909425e-07,frame00049
Excitement,4.130475e-05,frame00049
Fear,8.987909e-05,frame00049
Horror,0.0002072317,frame00049
Interest,0.0001529587,frame00049
Joy,2.015256e-08,frame00049
Romance,3.911397e-09,frame00049
Sadness,0.001065366,frame00049
Sexual Desire,2.09535e-09,frame00049
Surprise,7.054596e-07,frame00049
Adoration,9.651092e-10,frame00057
Aesthetic Appreciation,0.8949298,frame00057
Amusement,0.0002607248,frame00057
Anxiety,1.383571e-05,frame00057
Awe,0.103045,frame00057
Boredom,9.220153e-05,frame00057
Confusion,5.120761e-06,frame00057
Craving,1.029489e-07,frame00057
Disgust,5.088449e-09,frame00057
Empathic Pain,1.791352e-05,frame00057
Entrancement,1.928345e-07,frame00057
Excitement,3.462015e-05,frame00057
Fear,5.259957e-05,frame00057
Horror,0.0001449086,frame00057
Interest,0.0001511409,frame00057
Joy,2.926179e-08,frame00057
Romance,8.890498e-09,frame00057
Sadness,0.001250772,frame00057
Sexual Desire,2.467084e-09,frame00057
Surprise,9.063783e-07,frame00057
Adoration,5.197832e-10,frame00065
Aesthetic Appreciation,0.899134,frame00065
Amusement,0.0001384274,frame00065
Anxiety,1.417144e-05,frame00065
Awe,0.09947434,frame00065
Boredom,0.0001008108,frame00065
Confusion,1.855281e-06,frame00065
Craving,8.990005e-08,frame00065
Disgust,5.012457e-09,frame00065
Empathic Pain,1.122539e-05,frame00065
Entrancement,2.132115e-07,frame00065
Excitement,1.774293e-05,frame00065
Fear,6.909735e-05,frame00065
Horror,0.0002069281,frame00065
Interest,0.0001182727,frame00065
Joy,1.964941e-08,frame00065
Romance,4.973374e-09,frame00065
Sadness,0.0007122088,frame00065
Sexual Desire,1.866264e-09,frame00065
Surprise,4.984804e-07,frame00065
Adoration,7.089619e-10,frame00073
Aesthetic Appreciation,0.8557413,frame00073
Amusement,0.0001250942,frame00073
Anxiety,3.011326e-05,frame00073
Awe,0.1417784,frame00073
Boredom,0.0001431132,frame00073
Confusion,4.063014e-06,frame00073
Craving,1.333292e-07,frame00073
Disgust,5.353467e-09,frame00073
Empathic Pain,1.170052e-05,frame00073
Entrancement,4.980519e-07,frame00073
Excitement,2.323088e-05,frame00073
Fear,0.0001214596,frame00073
Horror,0.0003393212,frame00073
Interest,0.0002312798,frame00073
Joy,2.24661e-08,frame00073
Romance,2.422991e-09,frame00073
Sadness,0.001449713,frame00073
Sexual Desire,2.024844e-09,frame00073
Surprise,4.855148e-07,frame00073
Adoration,8.632071e-10,frame00081
Aesthetic Appreciation,0.8924965,frame00081
Amusement,8.715324e-05,frame00081
Anxiety,2.922463e-05,frame00081
Awe,0.1044164,frame00081
Boredom,0.000174788,frame00081
Confusion,4.951525e-06,frame00081
Craving,1.207523e-07,frame00081
Disgust,6.295902e-09,frame00081
Empathic Pain,1.213916e-05,frame00081
Entrancement,4.802096e-07,frame00081
Excitement,1.16445e-05,frame00081
Fear,8.870334e-05,frame00081
Horror,0.0003162097,frame00081
Interest,0.0002502211,frame00081
Joy,1.484417e-08,frame00081
Romance,1.713467e-09,frame00081
Sadness,0.002110793,frame00081
Sexual Desire,1.381333e-09,frame00081
Surprise,6.705661e-07,frame00081
Adoration,1.026363e-09,frame00089
Aesthetic Appreciation,0.8693143,frame00089
Amusement,0.0001675417,frame00089
Anxiety,3.771596e-05,frame00089
Awe,0.1253568,frame00089
Boredom,0.0001799585,frame00089
Confusion,7.353956e-06,frame00089
Craving,1.825681e-07,frame00089
Disgust,6.741284e-09,frame00089
Empathic Pain,1.900701e-05,frame00089
Entrancement,8.164573e-07,frame00089
Excitement,1.879794e-05,frame00089
Fear,0.0001216064,frame00089
Horror,0.0005024504,frame00089
Interest,0.0003996813,frame00089
Joy,1.031869e-08,frame00089
Romance,1.144214e-09,frame00089
Sadness,0.003872904,frame00089
Sexual Desire,1.213344e-09,frame00089
Surprise,1.035651e-06,frame00089
Adoration,1.025247e-09,frame00097
Aesthetic Appreciation,0.8525386,frame00097
Amusement,0.0002704937,frame00097
Anxiety,0.0001097305,frame00097
Awe,0.1337599,frame00097
Boredom,0.0003064144,frame00097
Confusion,9.221811e-06,frame00097
Craving,1.937857e-07,frame00097
Disgust,7.805894e-09,frame00097
Empathic Pain,1.296932e-05,frame00097
Entrancement,7.754638e-07,frame00097
Excitement,2.902434e-05,frame00097
Fear,0.0001479175,frame00097
Horror,0.0006921601,frame00097
Interest,0.0007170897,frame00097
Joy,1.776057e-08,frame00097
Romance,1.934233e-09,frame00097
Sadness,0.01140269,frame00097
Sexual Desire,1.647069e-09,frame00097
Surprise,2.580163e-06,frame00097
Adoration,6.246425e-10,frame00105
Aesthetic Appreciation,0.8912289,frame00105
Amusement,0.0001355273,frame00105
Anxiety,9.976939e-05,frame00105
Awe,0.09863307,frame00105
Boredom,0.000140791,frame00105
Confusion,6.123699e-06,frame00105
Craving,3.094776e-07,frame00105
Disgust,4.35765e-09,frame00105
Empathic Pain,9.145768e-06,frame00105
Entrancement,4.563857e-07,frame00105
Excitement,1.601209e-05,frame00105
Fear,8.656897e-05,frame00105
Horror,0.0003133025,frame00105
Interest,0.0004164035,frame00105
