EmotionCategory,Probability,FrameID
Adoration,0.09051991,frame00009
Aesthetic Appreciation,0.05945699,frame00009
Amusement,0.0008975705,frame00009
Anxiety,0.0001646017,frame00009
Awe,0.04061927,frame00009
Boredom,0.04474559,frame00009
Confusion,0.08785219,frame00009
Craving,1.861029e-05,frame00009
Disgust,0.008375965,frame00009
Empathic Pain,0.0008641838,frame00009
Entrancement,1.180355e-05,frame00009
Excitement,0.00145671,frame00009
Fear,0.5570236,frame00009
Horror,0.02973617,frame00009
Interest,0.0003303355,frame00009
Joy,0.01338322,frame00009
Romance,0.05257748,frame00009
Sadness,0.01100632,frame00009
Sexual Desire,0.0003387815,frame00009
Surprise,0.0006206676,frame00009
Adoration,0.3144442,frame00017
Aesthetic Appreciation,0.0141139,frame00017
Amusement,0.005222193,frame00017
Anxiety,0.0002357817,frame00017
Awe,0.04110957,frame00017
Boredom,0.01562652,frame00017
Confusion,0.3543262,frame00017
Craving,1.921632e-05,frame00017
Disgust,0.02112444,frame00017
Empathic Pain,0.0001536861,frame00017
Entrancement,1.246155e-05,frame00017
Excitement,0.001211546,frame00017
Fear,0.1021987,frame00017
Horror,0.02728398,frame00017
Interest,0.005428169,frame00017
Joy,0.01920815,frame00017
Romance,0.04129492,frame00017
Sadness,0.036614,frame00017
Sexual Desire,0.0001326251,frame00017
Surprise,0.0002397085,frame00017
Adoration,0.06476597,frame00025
Aesthetic Appreciation,0.02033977,frame00025
Amusement,0.0005615453,frame00025
Anxiety,3.892341e-05,frame00025
Awe,0.007162598,frame00025
Boredom,0.03225964,frame00025
Confusion,0.0129524,frame00025
Craving,5.707553e-06,frame00025
Disgust,0.004000397,frame00025
Empathic Pain,0.0001307951,frame00025
Entrancement,4.605586e-06,frame00025
Excitement,0.0008828089,frame00025
Fear,0.03733554,frame00025
Horror,0.6755731,frame00025
Interest,0.00584897,frame00025
Joy,0.00742371,frame00025
Romance,0.03515376,frame00025
Sadness,0.09497843,frame00025
Sexual Desire,0.0001682609,frame00025
Surprise,0.000413145,frame00025
Adoration,0.07717976,frame00033
Aesthetic Appreciation,0.05820568,frame00033
Amusement,0.00666306,frame00033
Anxiety,0.0001354636,frame00033
Awe,0.05706487,frame00033
Boredom,0.0305811,frame00033
Confusion,0.01631906,frame00033
Craving,7.765811e-06,frame00033
Disgust,0.003201047,frame00033
Empathic Pain,0.0003428896,frame00033
Entrancement,1.154874e-05,frame00033
Excitement,0.0002831968,frame00033
Fear,0.08958835,frame00033
Horror,0.1911036,frame00033
Interest,0.008066159,frame00033
Joy,0.009198828,frame00033
Romance,0.04054843,frame00033
Sadness,0.4104958,frame00033
Sexual Desire,0.0003023499,frame00033
Surprise,0.0007011595,frame00033
Adoration,0.01172198,frame00041
Aesthetic Appreciation,0.1232269,frame00041
Amusement,0.0008021093,frame00041
Anxiety,9.785148e-05,frame00041
Awe,0.1548467,frame00041
Boredom,0.02555381,frame00041
Confusion,0.002769305,frame00041
Craving,1.247692e-05,frame00041
Disgust,0.00156146,frame00041
Empathic Pain,0.0003315625,frame00041
Entrancement,6.681239e-05,frame00041
Excitement,0.0006945548,frame00041
Fear,0.01036579,frame00041
Horror,0.2983748,frame00041
Interest,0.002292422,frame00041
Joy,0.0007160316,frame00041
Romance,0.04713652,frame00041
Sadness,0.3187327,frame00041
Sexual Desire,0.0005396505,frame00041
Surprise,0.0001566172,frame00041
Adoration,0.009071791,frame00049
Aesthetic Appreciation,0.1252467,frame00049
Amusement,0.0006094436,frame00049
Anxiety,0.000431781,frame00049
Awe,0.1297309,frame00049
Boredom,0.02994529,frame00049
Confusion,0.001095236,frame00049
Craving,1.462468e-05,frame00049
Disgust,0.00176127,frame00049
Empathic Pain,0.0002234714,frame00049
Entrancement,8.271726e-05,frame00049
Excitement,0.0003655289,frame00049
Fear,0.008892252,frame00049
Horror,0.1468375,frame00049
Interest,0.004427574,frame00049
Joy,0.001146622,frame00049
Romance,0.04853739,frame00049
Sadness,0.4904839,frame00049
Sexual Desire,0.001020363,frame00049
Surprise,7.589636e-05,frame00049
Adoration,0.001989752,frame00057
Aesthetic Appreciation,0.0876886,frame00057
Amusement,0.0003059125,frame00057
Anxiety,0.0001681757,frame00057
Awe,0.06999287,frame00057
Boredom,0.02184395,frame00057
Confusion,0.001115913,frame00057
Craving,5.366804e-06,frame00057
Disgust,0.001394292,frame00057
Empathic Pain,0.0001706358,frame00057
Entrancement,4.899487e-05,frame00057
Excitement,0.0002603274,frame00057
Fear,0.004310038,frame00057
Horror,0.1167206,frame00057
Interest,0.002977849,frame00057
Joy,0.0006196373,frame00057
Romance,0.04875591,frame00057
Sadness,0.6401432,frame00057
Sexual Desire,0.001408156,frame00057
Surprise,7.965336e-05,frame00057
Adoration,0.002738597,frame00065
Aesthetic Appreciation,0.1137293,frame00065
Amusement,0.000461206,frame00065
Anxiety,0.000345983,frame00065
Awe,0.1108926,frame00065
Boredom,0.03978849,frame00065
Confusion,0.001368299,frame00065
Craving,4.496816e-06,frame00065
Disgust,0.002703447,frame00065
Empathic Pain,0.0002052767,frame00065
Entrancement,5.557163e-05,frame00065
Excitement,0.0003473759,frame00065
Fear,0.009422623,frame00065
Horror,0.1000787,frame00065
Interest,0.003045202,frame00065
Joy,0.001066347,frame00065
Romance,0.05610367,frame00065
Sadness,0.5558489,frame00065
Sexual Desire,0.001718399,frame00065
Surprise,7.563632e-05,frame00065
Adoration,0.002873647,frame00073
Aesthetic Appreciation,0.2096999,frame00073
Amusement,0.0003614877,frame00073
Anxiety,0.0001892693,frame00073
Awe,0.1621978,frame00073
Boredom,0.04440044,frame00073
Confusion,0.001044854,frame00073
Craving,6.541792e-06,frame00073
Disgust,0.002845105,frame00073
Empathic Pain,0.00021772,frame00073
Entrancement,0.0001298022,frame00073
Excitement,0.0002621422,frame00073
Fear,0.004875771,frame00073
Horror,0.05241458,frame00073
Interest,0.002042276,frame00073
Joy,0.0006864732,frame00073
