ROI_Index,R_Diff,P,P_Adj,
56,0.014,0.000,0.000,LH_ContA_Ins_1
108,-0.026,0.000,0.000,LH_SalVenAttnB_Temp_1
225,-0.012,0.000,0.000,RH_DefaultB_pCun_1
248,0.022,0.000,0.000,RH_ContA_IPS_3
311,-0.014,0.000,0.000,RH_SalVenAttnB_Temp_1
337,-0.011,0.000,0.000,RH_Aud_ParOcc_1
126,-0.011,0.000,0.003,LH_DorsAttnB_ParOper_1
344,-0.017,0.000,0.003,RH_Aud_Temp_1
3,-0.017,0.001,0.004,LH_DefaultA_IPL_2
10,0.003,0.000,0.004,LH_DefaultA_PHC_1
12,-0.014,0.001,0.004,LH_DefaultA_Temp_2
17,-0.005,0.001,0.004,LH_DefaultB_IPL_2
18,0.008,0.001,0.004,LH_DefaultB_PCC_1
20,-0.010,0.001,0.004,LH_DefaultB_PFCd_1
32,0.010,0.001,0.004,LH_DefaultC_PFCd_1
33,0.006,0.001,0.004,LH_DefaultC_PFCd_2
34,0.024,0.001,0.004,LH_DefaultC_PHC_1
36,0.014,0.001,0.004,LH_DefaultC_RSC_1
40,0.014,0.001,0.004,LH_DefaultC_pCun_2
52,0.009,0.001,0.004,LH_ContA_Cingm_1
57,0.003,0.001,0.004,LH_ContA_OFC_1
64,-0.003,0.001,0.004,LH_ContB_FPole_1
65,0.019,0.001,0.004,LH_ContB_IPL_1
67,0.027,0.000,0.004,LH_ContB_IPS_1
74,-0.016,0.001,0.004,LH_ContB_Temp_1
81,0.005,0.001,0.004,LH_ContC_PFCm_2
83,0.017,0.001,0.004,LH_ContC_pCun_1
86,0.001,0.001,0.004,LH_SalVenAttnA_FrMed_2
88,-0.017,0.000,0.004,LH_SalVenAttnA_IPL_1
97,0.014,0.000,0.004,LH_SalVenAttnB_IPL_1
111,0.010,0.001,0.004,LH_DorsAttnA_IPS_1
117,0.008,0.001,0.004,LH_DorsAttnA_PrCv_1
119,0.022,0.001,0.004,LH_DorsAttnA_SPL_2
120,0.007,0.001,0.004,LH_DorsAttnA_TempOcc_1
133,0.021,0.001,0.004,LH_DorsAttnB_SPL_1
138,-0.019,0.001,0.004,LH_Aud_ParOcc_1
139,-0.038,0.001,0.004,LH_Aud_ST_1
140,-0.025,0.001,0.004,LH_Aud_ST_2
147,-0.020,0.001,0.004,LH_SomMotA_ParOper_1
148,-0.009,0.001,0.004,LH_SomMotA_1
149,0.015,0.001,0.004,LH_SomMotA_2
151,0.010,0.001,0.004,LH_SomMotA_4
152,0.004,0.001,0.004,LH_SomMotA_5
153,0.004,0.000,0.004,LH_SomMotA_6
154,0.003,0.001,0.004,LH_SomMotA_7
155,0.013,0.001,0.004,LH_SomMotA_8
160,-0.006,0.001,0.004,LH_SomMotB_Ins_1
162,-0.010,0.001,0.004,LH_SomMotB_ParOper_2
171,-0.016,0.000,0.004,LH_SomMotB_9
175,-0.018,0.001,0.004,LH_VisualA_ExStr_4
186,0.013,0.001,0.004,LH_VisualB_ExStrInf_2
201,-0.015,0.001,0.004,RH_DefaultA_IPL_1
207,-0.007,0.001,0.004,RH_DefaultA_PFCm_4
209,-0.006,0.001,0.004,RH_DefaultA_Temp_1
221,0.003,0.000,0.004,RH_DefaultB_PFCv_1
228,-0.019,0.001,0.004,RH_DefaultC_IPL_3
230,0.014,0.001,0.004,RH_DefaultC_PHC_1
232,0.007,0.001,0.004,RH_DefaultC_RSC_1
233,0.028,0.001,0.004,RH_DefaultC_RSC_2
238,-0.015,0.001,0.004,RH_Language_PFCd_1
240,0.009,0.001,0.004,RH_Language_PFCl_2
245,0.009,0.001,0.004,RH_ContA_Cingm_1
254,-0.011,0.001,0.004,RH_ContA_PFCl_3
255,0.010,0.000,0.004,RH_ContA_PFCmp_1
257,0.012,0.001,0.004,RH_ContA_Temp_1
260,-0.002,0.001,0.004,RH_ContB_IPL_1
264,0.001,0.001,0.004,RH_ContB_OFC_2
266,0.017,0.001,0.004,RH_ContB_PCC_1
267,0.008,0.001,0.004,RH_ContB_PFCd_1
270,0.006,0.001,0.004,RH_ContB_Temp_1
274,0.009,0.001,0.004,RH_ContC_Ins_1
275,0.002,0.001,0.004,RH_ContC_OFC_1
279,0.009,0.001,0.004,RH_ContC_PFCl_2
285,-0.013,0.000,0.004,RH_SalVenAttnA_FrMed_1
291,-0.003,0.001,0.004,RH_SalVenAttnA_IPL_2
295,0.015,0.001,0.004,RH_SalVenAttnA_PFCmp_1
319,0.001,0.001,0.004,RH_DorsAttnA_SPL_3
321,0.011,0.001,0.004,RH_DorsAttnA_TempOcc_1
323,0.006,0.001,0.004,RH_DorsAttnA_TempPole_1
332,0.013,0.001,0.004,RH_DorsAttnB_PrCv_1
342,-0.019,0.001,0.004,RH_Aud_ST_4
343,-0.007,0.001,0.004,RH_Aud_ST_5
346,-0.012,0.001,0.004,RH_SomMotA_1
348,0.001,0.001,0.004,RH_SomMotA_3
350,0.002,0.001,0.004,RH_SomMotA_5
357,-0.001,0.001,0.004,RH_SomMotA_12
358,-0.006,0.001,0.004,RH_SomMotB_Ins_1
360,-0.009,0.001,0.004,RH_SomMotB_ParOper_1
363,-0.007,0.001,0.004,RH_SomMotB_2
368,0.008,0.001,0.004,RH_SomMotB_7
370,0.014,0.001,0.004,RH_VisualA_ExStr_2
378,-0.013,0.001,0.004,RH_VisualA_ExStr_10
385,0.012,0.001,0.004,RH_VisualB_ExStrInf_2
390,0.012,0.001,0.004,RH_VisualB_ExStrSup_3
392,0.005,0.001,0.004,RH_VisualB_ExStrSup_5
336,-0.015,0.031,0.129,RH_Aud_Ins_1
113,0.024,0.037,0.153,LH_DorsAttnA_IPS_3
54,0.007,0.094,0.382,LH_ContA_IPS_2
262,0.007,0.129,0.521,RH_ContB_IPS_1
43,0.018,0.131,0.525,LH_Language_IFG_2
359,-0.001,0.143,0.567,RH_SomMotB_Ins_2
397,-0.007,0.161,0.632,RH_VisualC_ExStr_1
167,0.000,0.166,0.640,LH_SomMotB_5
283,0.009,0.166,0.640,RH_ContC_PFCm_3
141,-0.037,0.191,0.725,LH_Aud_ST_3
297,0.012,0.194,0.725,RH_SalVenAttnA_SPL_2
356,-0.008,0.194,0.725,RH_SomMotA_11
284,0.012,0.209,0.776,RH_ContC_pCun_1
79,0.012,0.224,0.814,LH_ContC_Ins_1
156,-0.001,0.222,0.814,LH_SomMotA_9
42,0.006,0.232,0.829,LH_Language_IFG_1
107,0.016,0.232,0.829,LH_SalVenAttnB_SPL_1
214,0.003,0.257,0.909,RH_DefaultA_pCun_1
4,-0.003,0.262,0.918,LH_DefaultA_PCC_1
37,0.017,0.279,0.925,LH_DefaultC_RSC_2
132,0.015,0.270,0.925,LH_DorsAttnB_PrCv_1
137,-0.023,0.278,0.925,LH_Aud_Ins_1
215,-0.004,0.274,0.925,RH_DefaultB_FPole_1
219,-0.005,0.268,0.925,RH_DefaultB_PFCd_3
281,0.004,0.280,0.925,RH_ContC_PFCm_1
354,-0.008,0.274,0.925,RH_SomMotA_9
23,-0.014,0.292,0.958,LH_DefaultB_PFCd_4
1,-0.004,0.596,1.000,LH_DefaultA_FPole_1
2,0.009,0.832,1.000,LH_DefaultA_IPL_1
5,-0.001,0.884,1.000,LH_DefaultA_PFCd_1
6,0.006,1.000,1.000,LH_DefaultA_PFCm_1
7,-0.011,1.000,1.000,LH_DefaultA_PFCm_2
8,0.002,0.569,1.000,LH_DefaultA_PFCm_3
9,0.004,1.000,1.000,LH_DefaultA_PFCm_4
11,-0.007,0.860,1.000,LH_DefaultA_Temp_1
13,0.003,0.854,1.000,LH_DefaultA_TempPole_1
14,-0.002,0.839,1.000,LH_DefaultA_pCun_1
15,0.009,0.771,1.000,LH_DefaultB_FPole_1
16,-0.006,1.000,1.000,LH_DefaultB_IPL_1
19,-0.008,0.850,1.000,LH_DefaultB_PCC_2
21,-0.014,0.996,1.000,LH_DefaultB_PFCd_2
22,-0.011,0.596,1.000,LH_DefaultB_PFCd_3
24,0.001,0.998,1.000,LH_DefaultB_PFCl_1
25,0.003,0.998,1.000,LH_DefaultB_PFCv_1
26,0.002,0.854,1.000,LH_DefaultB_PFCv_2
27,-0.006,0.611,1.000,LH_DefaultB_Temp_1
28,0.000,0.839,1.000,LH_DefaultB_Temp_2
29,-0.010,0.654,1.000,LH_DefaultB_TempPole_1
30,0.007,1.000,1.000,LH_DefaultB_TempPole_2
31,0.018,1.000,1.000,LH_DefaultC_IPL_1
35,-0.013,0.854,1.000,LH_DefaultC_PHC_2
38,0.006,0.795,1.000,LH_DefaultC_RSC_3
