"","var1","var2","value"
"1","SR-0208","SR-0035",0.315471836058555
"2","SR-0295","SR-0035",0.314633726695126
"3","SR-0756","SR-0035",0.56783642168658
"4","SR-0757","SR-0035",0.456988530520661
"5","SR-1371","SR-0035",0.334201805615704
"6","SR-2579","SR-0035",-0.324586694213713
"7","SR-2610","SR-0035",-0.123185032834079
"8","SR-2758","SR-0035",0.363390350371836
"9","SR-3011","SR-0035",0.233651738668318
"10","SR-30461","SR-0035",0.303045158222851
"11","SR-3274","SR-0035",0.104543240984294
"12","SR-3801","SR-0035",0.345420135610217
"13","SR-3951","SR-0035",0.328061455841877
"14","SR-3952","SR-0035",0.270483272390071
"15","SR-3981","SR-0035",0.0831071749988826
"16","SR-4407","SR-0035",0.527419041017131
"17","SR-4590","SR-0035",0.634866217180738
"18","SR-4781","SR-0035",0.256510991701047
"19","SR-5006","SR-0035",0.498302654883977
"20","SR-5849","SR-0035",0.290813927477804
"21","SR-6021","SR-0035",0.470483117418035
"22","SR-6215","SR-0035",0.304237081779161
"23","SR-6269","SR-0035",0.354573162938863
"24","SR-6773","SR-0035",-0.473710356863163
"25","SR-6799","SR-0035",0.548988111348483
"26","SR-6971","SR-0035",0.52776195069664
"27","SR-6977","SR-0035",0.501828905750961
"28","SR-7255","SR-0035",0.255108888401848
"29","SR-7492","SR-0035",0.447038611806618
"30","SR-7758","SR-0035",0.300673977150531
"31","SR-8607","SR-0035",0.451725662651653
"32","SR-8621","SR-0035",0.389350885437993
"33","SR-8746","SR-0035",0.476986886116761
"34","SR-8929","SR-0035",0.261137466991749
"35","SR-9436","SR-0035",-0.0206129516343697
"36","SR-9827","SR-0035",0.41258837181712
"37","SR-9907","SR-0035",0.37408946584989
"38","SR-0295","SR-0208",0.827757088815708
"39","SR-0756","SR-0208",0.628179492137884
"40","SR-0757","SR-0208",0.708654458770629
"41","SR-1371","SR-0208",-0.107466671911371
"42","SR-2579","SR-0208",0.126146448873924
"43","SR-2610","SR-0208",0.0260631998276134
"44","SR-2758","SR-0208",0.868179975383227
"45","SR-3011","SR-0208",0.199572080551876
"46","SR-30461","SR-0208",0.311191807483745
"47","SR-3274","SR-0208",-0.183458738331029
"48","SR-3801","SR-0208",0.681841681979463
"49","SR-3951","SR-0208",0.732733441690734
"50","SR-3952","SR-0208",0.74100819681162
"51","SR-3981","SR-0208",0.711612106990046
"52","SR-4407","SR-0208",0.321037975958851
"53","SR-4590","SR-0208",0.261842444771865
"54","SR-4781","SR-0208",0.655412109041455
"55","SR-5006","SR-0208",0.235824961390727
"56","SR-5849","SR-0208",0.484816124741884
"57","SR-6021","SR-0208",0.600143110876199
"58","SR-6215","SR-0208",0.635449314562136
"59","SR-6269","SR-0208",0.494837371156449
"60","SR-6773","SR-0208",-0.360526360517089
"61","SR-6799","SR-0208",0.235425394945641
"62","SR-6971","SR-0208",0.774912707502513
"63","SR-6977","SR-0208",0.30327294098877
"64","SR-7255","SR-0208",0.666691503609468
"65","SR-7492","SR-0208",0.787814241006363
"66","SR-7758","SR-0208",0.57454847105024
"67","SR-8607","SR-0208",0.828192502010393
"68","SR-8621","SR-0208",0.65188021226852
"69","SR-8746","SR-0208",0.2841399802328
"70","SR-8929","SR-0208",0.823950964535371
"71","SR-9436","SR-0208",0.326830134757208
"72","SR-9827","SR-0208",0.842477454029557
"73","SR-9907","SR-0208",0.649568525705519
"74","SR-0756","SR-0295",0.573370840036088
"75","SR-0757","SR-0295",0.728213779489161
"76","SR-1371","SR-0295",-0.0274267701012983
"77","SR-2579","SR-0295",0.0282085097814859
"78","SR-2610","SR-0295",0.14442532842743
"79","SR-2758","SR-0295",0.811187610014456
"80","SR-3011","SR-0295",0.227052567900199
"81","SR-30461","SR-0295",0.349624485131148
"82","SR-3274","SR-0295",-0.163976340628636
"83","SR-3801","SR-0295",0.630039231197419
"84","SR-3951","SR-0295",0.74289255077961
"85","SR-3952","SR-0295",0.726639871385942
"86","SR-3981","SR-0295",0.700631648020929
"87","SR-4407","SR-0295",0.367324725748079
