"","var1","var2","value"
"1","SR-0757","SR-0208",-0.458962184858359
"2","SR-1371","SR-0208",0.187228237206868
"3","SR-2610","SR-0208",0.579127553693349
"4","SR-2758","SR-0208",0.529740593967015
"5","SR-30461","SR-0208",-0.185606158089489
"6","SR-3801","SR-0208",-0.632823150401012
"7","SR-3951","SR-0208",0.688380728938908
"8","SR-4407","SR-0208",0.363995334606708
"9","SR-4590","SR-0208",-0.618967169565268
"10","SR-6021","SR-0208",-0.520170422812282
"11","SR-6269","SR-0208",0.644837016173717
"12","SR-6773","SR-0208",0.561062416764963
"13","SR-6799","SR-0208",0.744861698779136
"14","SR-7758","SR-0208",0.431770918175602
"15","SR-8607","SR-0208",-0.194199839920627
"16","SR-8621","SR-0208",0.538460496618048
"17","SR-8746","SR-0208",-0.46758911013636
"18","SR-9436","SR-0208",-0.704203137490742
"19","SR-9827","SR-0208",0.746610429388201
"20","SR-9907","SR-0208",-0.355901619668851
"21","SR-1371","SR-0757",-0.288024616395501
"22","SR-2610","SR-0757",-0.323216422601401
"23","SR-2758","SR-0757",-0.781696199009152
"24","SR-30461","SR-0757",0.219565285990659
"25","SR-3801","SR-0757",0.883105428642646
"26","SR-3951","SR-0757",-0.472060598153961
"27","SR-4407","SR-0757",0.0265197330798895
"28","SR-4590","SR-0757",0.875627978356646
"29","SR-6021","SR-0757",0.92510556744444
"30","SR-6269","SR-0757",-0.880040929513628
"31","SR-6773","SR-0757",-0.617314792399218
"32","SR-6799","SR-0757",-0.533541897730946
"33","SR-7758","SR-0757",-0.722506136906902
"34","SR-8607","SR-0757",0.83872185711127
"35","SR-8621","SR-0757",-0.35991304443378
"36","SR-8746","SR-0757",0.619477226317721
"37","SR-9436","SR-0757",0.874251811851729
"38","SR-9827","SR-0757",-0.376597728040072
"39","SR-9907","SR-0757",0.899111668560178
"40","SR-2610","SR-1371",0.285745460908631
"41","SR-2758","SR-1371",0.123696285181891
"42","SR-30461","SR-1371",0.0499557559452963
"43","SR-3801","SR-1371",-0.306766274634991
"44","SR-3951","SR-1371",0.103651132853734
"45","SR-4407","SR-1371",0.000219259500218817
"46","SR-4590","SR-1371",-0.318842220764213
"47","SR-6021","SR-1371",-0.31518789952639
"48","SR-6269","SR-1371",0.276487757240759
"49","SR-6773","SR-1371",0.107445533347012
"50","SR-6799","SR-1371",0.158841459354732
"51","SR-7758","SR-1371",0.181739340569054
"52","SR-8607","SR-1371",-0.241140244095225
"53","SR-8621","SR-1371",0.235393376382837
"54","SR-8746","SR-1371",-0.419927322195423
"55","SR-9436","SR-1371",-0.258601482401438
"56","SR-9827","SR-1371",0.319969523078448
"57","SR-9907","SR-1371",-0.294714403965196
"58","SR-2758","SR-2610",0.386943869535835
"59","SR-30461","SR-2610",0.00485605994425085
"60","SR-3801","SR-2610",-0.615259591546082
"61","SR-3951","SR-2610",0.562689889785198
"62","SR-4407","SR-2610",0.256845025090114
"63","SR-4590","SR-2610",-0.585831899018143
"64","SR-6021","SR-2610",-0.463697054774805
"65","SR-6269","SR-2610",0.450824697487722
"66","SR-6773","SR-2610",0.521095589236048
"67","SR-6799","SR-2610",0.639547675440419
"68","SR-7758","SR-2610",0.125298584236997
"69","SR-8607","SR-2610",-0.16145192096997
"70","SR-8621","SR-2610",0.507592051309778
"71","SR-8746","SR-2610",-0.653582544306735
"72","SR-9436","SR-2610",-0.549447732472472
"73","SR-9827","SR-2610",0.792609305965348
"74","SR-9907","SR-2610",-0.31509247283882
"75","SR-30461","SR-2758",-0.537547971905372
"76","SR-3801","SR-2758",-0.851414291711054
"77","SR-3951","SR-2758",0.722753954414864
"78","SR-4407","SR-2758",-0.136278393870661
"79","SR-4590","SR-2758",-0.767340036063976
"80","SR-6021","SR-2758",-0.776974206893386
"81","SR-6269","SR-2758",0.689445612563856
"82","SR-6773","SR-2758",0.702844339135981
"83","SR-6799","SR-2758",0.648498528889588
"84","SR-7758","SR-2758",0.650487808540389
"85","SR-8607","SR-2758",-0.798679886636856
"86","SR-8621","SR-2758",0.0827224759987725
"87","SR-8746","SR-2758",-0.373854320760255
"88","SR-9436","SR-2758",-0.880705748758245
