"","var1","var2","value"
"1","SR-0295","SR-0035",-0.614983495002835
"2","SR-0756","SR-0035",-0.705558908149229
"3","SR-2579","SR-0035",-0.661035607203143
"4","SR-3011","SR-0035",0.847301387382546
"5","SR-3274","SR-0035",-0.475633342960952
"6","SR-3952","SR-0035",0.762708599897678
"7","SR-3981","SR-0035",0.57411459035392
"8","SR-4781","SR-0035",-0.627732421216881
"9","SR-5006","SR-0035",0.656568383159062
"10","SR-5849","SR-0035",-0.57042361219872
"11","SR-6215","SR-0035",-0.577746703841431
"12","SR-6971","SR-0035",0.723053979571218
"13","SR-6977","SR-0035",0.600871100802937
"14","SR-7255","SR-0035",-0.513822135756888
"15","SR-7492","SR-0035",0.680140214047099
"16","SR-8929","SR-0035",0.444727473313286
"17","SR-0756","SR-0295",0.78888623363082
"18","SR-2579","SR-0295",0.77830523489662
"19","SR-3011","SR-0295",-0.65027176835321
"20","SR-3274","SR-0295",0.742187345440841
"21","SR-3952","SR-0295",-0.844440371640351
"22","SR-3981","SR-0295",-0.624595193373504
"23","SR-4781","SR-0295",0.9361602990697
"24","SR-5006","SR-0295",-0.761471287341042
"25","SR-5849","SR-0295",0.697964914489046
"26","SR-6215","SR-0295",0.832329537069379
"27","SR-6971","SR-0295",-0.703183083023399
"28","SR-6977","SR-0295",-0.206897363545968
"29","SR-7255","SR-0295",0.852221454812234
"30","SR-7492","SR-0295",-0.409270286418169
"31","SR-8929","SR-0295",-0.411967653822003
"32","SR-2579","SR-0756",0.760955787151539
"33","SR-3011","SR-0756",-0.689863145088248
"34","SR-3274","SR-0756",0.68298860445924
"35","SR-3952","SR-0756",-0.808577972787059
"36","SR-3981","SR-0756",-0.436433656651606
"37","SR-4781","SR-0756",0.801240541984042
"38","SR-5006","SR-0756",-0.706922210451827
"39","SR-5849","SR-0756",0.567659675454275
"40","SR-6215","SR-0756",0.91614240255338
"41","SR-6971","SR-0756",-0.955001483528901
"42","SR-6977","SR-0756",-0.417244563677237
"43","SR-7255","SR-0756",0.755284946366664
"44","SR-7492","SR-0756",-0.269688429127339
"45","SR-8929","SR-0756",-0.57112838841593
"46","SR-3011","SR-2579",-0.834139649029158
"47","SR-3274","SR-2579",0.831917875285784
"48","SR-3952","SR-2579",-0.860904778470105
"49","SR-3981","SR-2579",-0.509318969803801
"50","SR-4781","SR-2579",0.877402226653327
"51","SR-5006","SR-2579",-0.89076543983188
"52","SR-5849","SR-2579",0.721659165261315
"53","SR-6215","SR-2579",0.773260941392246
"54","SR-6971","SR-2579",-0.779504128682899
"55","SR-6977","SR-2579",-0.207560196978295
"56","SR-7255","SR-2579",0.871442690432186
"57","SR-7492","SR-2579",-0.557295243795568
"58","SR-8929","SR-2579",-0.682170031026383
"59","SR-3274","SR-3011",-0.661730327134167
"60","SR-3952","SR-3011",0.850045369549685
"61","SR-3981","SR-3011",0.573202353124723
"62","SR-4781","SR-3011",-0.765795393977195
"63","SR-5006","SR-3011",0.844333828501087
"64","SR-5849","SR-3011",-0.702887181059835
"65","SR-6215","SR-3011",-0.631115879380778
"66","SR-6971","SR-3011",0.749986954798366
"67","SR-6977","SR-3011",0.399933201108873
"68","SR-7255","SR-3011",-0.698919522971472
"69","SR-7492","SR-3011",0.809472381217567
"70","SR-8929","SR-3011",0.615075972195899
"71","SR-3952","SR-3274",-0.859096905325442
"72","SR-3981","SR-3274",-0.525114052439986
"73","SR-4781","SR-3274",0.862443194970478
"74","SR-5006","SR-3274",-0.919135950027752
"75","SR-5849","SR-3274",0.595347526719974
"76","SR-6215","SR-3274",0.766227552517557
"77","SR-6971","SR-3274",-0.686415651188899
"78","SR-6977","SR-3274",-0.00299066434713529
"79","SR-7255","SR-3274",0.915957971451929
"80","SR-7492","SR-3274",-0.43423952722175
"81","SR-8929","SR-3274",-0.691679115280516
"82","SR-3981","SR-3952",0.617794566503968
"83","SR-4781","SR-3952",-0.913022012457008
"84","SR-5006","SR-3952",0.924460305438381
"85","SR-5849","SR-3952",-0.62097045439127
"86","SR-6215","SR-3952",-0.794983889931286
"87","SR-6971","SR-3952",0.818089197916001
"88","SR-6977","SR-3952",0.388114102382259
"89","SR-7255","SR-3952",-0.863388057786208
"90","SR-7492","SR-3952",0.653330566310472
"91","SR-8929","SR-3952",0.603147493546629
"92","SR-4781","SR-3981",-0.643833933965131
"93","SR-5006","SR-3981",0.576148275072506
"94","SR-5849","SR-3981",-0.496910038388997
"95","SR-6215","SR-3981",-0.555552031246035
"96","SR-6971","SR-3981",0.342181626040183
"97","SR-6977","SR-3981",0.129072044032627
"98","SR-7255","SR-3981",-0.484744217313509
"99","SR-7492","SR-3981",0.545226330854953
"100","SR-8929","SR-3981",0.267349376326759
"101","SR-5006","SR-4781",-0.885635129077345
"102","SR-5849","SR-4781",0.71907566175959
"103","SR-6215","SR-4781",0.870588814015264
"104","SR-6971","SR-4781",-0.761257349331776
"105","SR-6977","SR-4781",-0.174740923991972
"106","SR-7255","SR-4781",0.915483872537603
"107","SR-7492","SR-4781",-0.503154166157789
"108","SR-8929","SR-4781",-0.557081625678136
"109","SR-5849","SR-5006",-0.653402965111949
"110","SR-6215","SR-5006",-0.740905465318394
