"","var1","var2","value"
"1","SR-0208","SR-0035",0.0492564879275013
"2","SR-0295","SR-0035",0.15926628572043
"3","SR-0756","SR-0035",-0.249879179681372
"4","SR-0757","SR-0035",-0.0148586304705209
"5","SR-1371","SR-0035",0.485162853369913
"6","SR-2579","SR-0035",0.486257644191009
"7","SR-2610","SR-0035",0.278035202053531
"8","SR-2758","SR-0035",0.274719682082763
"9","SR-3011","SR-0035",-0.0134727127558561
"10","SR-30461","SR-0035",-0.224381443694191
"11","SR-3274","SR-0035",0.289375807347918
"12","SR-3801","SR-0035",-0.053196770628652
"13","SR-3951","SR-0035",0.376100195538916
"14","SR-3952","SR-0035",0.268529181031407
"15","SR-3981","SR-0035",-0.0763606733431764
"16","SR-4407","SR-0035",-0.226016465689459
"17","SR-4590","SR-0035",-0.0307285882450905
"18","SR-4781","SR-0035",0.224466566158126
"19","SR-5006","SR-0035",-0.107379421978921
"20","SR-5849","SR-0035",0.00964096671805702
"21","SR-6021","SR-0035",0.277591008642056
"22","SR-6215","SR-0035",0.00421323333770531
"23","SR-6269","SR-0035",-0.242710572772266
"24","SR-6773","SR-0035",-0.111718979324611
"25","SR-6799","SR-0035",0.112175801410775
"26","SR-6971","SR-0035",0.0178200141101739
"27","SR-6977","SR-0035",0.108846219186007
"28","SR-7255","SR-0035",0.482989166524367
"29","SR-7492","SR-0035",-0.00127503639306754
"30","SR-7758","SR-0035",-0.0786872311538691
"31","SR-8607","SR-0035",-0.0312590166975973
"32","SR-8621","SR-0035",0.443740565286608
"33","SR-8746","SR-0035",-0.0476103640638332
"34","SR-8929","SR-0035",-0.1110710789782
"35","SR-9436","SR-0035",0.250652470144559
"36","SR-9827","SR-0035",0.279377553437891
"37","SR-9907","SR-0035",0.378639922776935
"38","SR-0295","SR-0208",0.737953123397792
"39","SR-0756","SR-0208",0.456400670759825
"40","SR-0757","SR-0208",0.755280238946658
"41","SR-1371","SR-0208",0.36150083385842
"42","SR-2579","SR-0208",0.332907534204033
"43","SR-2610","SR-0208",0.159830285925162
"44","SR-2758","SR-0208",0.705491785690803
"45","SR-3011","SR-0208",0.0901972287978779
"46","SR-30461","SR-0208",-0.142919035675932
"47","SR-3274","SR-0208",0.27837898298044
"48","SR-3801","SR-0208",0.45257333416429
"49","SR-3951","SR-0208",0.362096939549136
"50","SR-3952","SR-0208",0.514094890412699
"51","SR-3981","SR-0208",0.6401519934396
"52","SR-4407","SR-0208",0.0739148405638165
"53","SR-4590","SR-0208",-0.219507071052397
"54","SR-4781","SR-0208",0.210508397453797
"55","SR-5006","SR-0208",0.0283596586395153
"56","SR-5849","SR-0208",0.13054213797301
"57","SR-6021","SR-0208",0.347855422784142
