"","var1","var2","value"
"1","SR-0757","SR-0208",0.588013970058887
"2","SR-1371","SR-0208",-0.187228237206868
"3","SR-2610","SR-0208",0.0101368574079054
"4","SR-2758","SR-0208",0.529740593967015
"5","SR-30461","SR-0208",0.185606158089489
"6","SR-3801","SR-0208",0.632823150401012
"7","SR-3951","SR-0208",0.688380728938908
"8","SR-4407","SR-0208",0.338503817081762
"9","SR-4590","SR-0208",0.618967169565268
"10","SR-6021","SR-0208",0.520170422812282
"11","SR-6269","SR-0208",0.644837016173717
"12","SR-6773","SR-0208",0.545827696598909
"13","SR-6799","SR-0208",0.744861698779136
"14","SR-7758","SR-0208",-0.431770918175602
"15","SR-8607","SR-0208",0.285266033848845
"16","SR-8621","SR-0208",0.538460496618048
"17","SR-8746","SR-0208",0.443575324820548
"18","SR-9436","SR-0208",0.704203137490742
"19","SR-9827","SR-0208",0.746610429388201
"20","SR-9907","SR-0208",0.391186055513603
"21","SR-1371","SR-0757",-0.266850114900803
"22","SR-2610","SR-0757",-0.103580313279088
"23","SR-2758","SR-0757",0.879870940653144
"24","SR-30461","SR-0757",0.30726198291446
"25","SR-3801","SR-0757",0.955141244399281
"26","SR-3951","SR-0757",0.67884154925969
"27","SR-4407","SR-0757",-0.025280055765976
"28","SR-4590","SR-0757",0.912907849398603
"29","SR-6021","SR-0757",0.926515087472632
"30","SR-6269","SR-0757",0.872612076598217
"31","SR-6773","SR-0757",0.767514896913333
"32","SR-6799","SR-0757",0.68624990671059
"33","SR-7758","SR-0757",-0.663850889575354
"34","SR-8607","SR-0757",0.648759097120346
"35","SR-8621","SR-0757",0.367002683036359
"36","SR-8746","SR-0757",0.633009060113412
"37","SR-9436","SR-0757",0.939584612697033
"38","SR-9827","SR-0757",0.585041418595053
"39","SR-9907","SR-0757",0.816899052489606
"40","SR-2610","SR-1371",0.301591480659257
"41","SR-2758","SR-1371",-0.123696285181891
"42","SR-30461","SR-1371",0.0499557559452963
"43","SR-3801","SR-1371",-0.306766274634991
"44","SR-3951","SR-1371",-0.103651132853734
"45","SR-4407","SR-1371",-0.0105371331348648
"46","SR-4590","SR-1371",-0.318842220764213
"47","SR-6021","SR-1371",-0.31518789952639
"48","SR-6269","SR-1371",-0.276487757240759
"49","SR-6773","SR-1371",-0.123519216628907
"50","SR-6799","SR-1371",-0.158841459354732
"51","SR-7758","SR-1371",0.181739340569054
"52","SR-8607","SR-1371",-0.0523198667014304
"53","SR-8621","SR-1371",-0.235393376382837
"54","SR-8746","SR-1371",-0.297622850313265
"55","SR-9436","SR-1371",-0.258601482401438
"56","SR-9827","SR-1371",-0.319969523078448
"57","SR-9907","SR-1371",-0.104281636107083
"58","SR-2758","SR-2610",-0.0163005903113378
"59","SR-30461","SR-2610",0.173111520168695
"60","SR-3801","SR-2610",-0.0784278995039732
"61","SR-3951","SR-2610",0.139901833414722
"62","SR-4407","SR-2610",0.46828814505799
"63","SR-4590","SR-2610",-0.126195041611218
"64","SR-6021","SR-2610",-0.175280057959545
"65","SR-6269","SR-2610",-0.156618719694063
"66","SR-6773","SR-2610",0.0658094717836153
"67","SR-6799","SR-2610",0.256214104770384
"68","SR-7758","SR-2610",0.250429127372625
"69","SR-8607","SR-2610",-0.177472002157779
"70","SR-8621","SR-2610",0.0941852422346491
"71","SR-8746","SR-2610",-0.0754549438332902
"72","SR-9436","SR-2610",-0.0242992225404369
"73","SR-9827","SR-2610",0.0116694086026166
"74","SR-9907","SR-2610",-0.15022143967921
"75","SR-30461","SR-2758",0.537547971905372
"76","SR-3801","SR-2758",0.851414291711054
"77","SR-3951","SR-2758",0.722753954414864
"78","SR-4407","SR-2758",-0.201390981882134
"79","SR-4590","SR-2758",0.767340036063976
"80","SR-6021","SR-2758",0.776974206893386
"81","SR-6269","SR-2758",0.689445612563856
"82","SR-6773","SR-2758",0.705152070300947
"83","SR-6799","SR-2758",0.648498528889588
"84","SR-7758","SR-2758",-0.650487808540389
"85","SR-8607","SR-2758",0.786815654919825
"86","SR-8621","SR-2758",0.0827224759987725
"87","SR-8746","SR-2758",0.361556680921685
"88","SR-9436","SR-2758",0.880705748758245
"89","SR-9827","SR-2758",0.504946486391086
"90","SR-9907","SR-2758",0.92891099397025
"91","SR-3801","SR-30461",0.347733235881427
"92","SR-3951","SR-30461",0.40719106592438
"93","SR-4407","SR-30461",-0.130999655976396
"94","SR-4590","SR-30461",0.243189840280531
"95","SR-6021","SR-30461",0.278466534260405
"96","SR-6269","SR-30461",0.191266146053608
"97","SR-6773","SR-30461",0.496754908745279
"98","SR-6799","SR-30461",0.443917731391146
"99","SR-7758","SR-30461",-0.311231044511729
"100","SR-8607","SR-30461",0.628474283378448
"101","SR-8621","SR-30461",-0.304410140112734
"102","SR-8746","SR-30461",0.0251016786064032
"103","SR-9436","SR-30461",0.401162373435544
"104","SR-9827","SR-30461",0.245932959940865
"105","SR-9907","SR-30461",0.553238182221243
"106","SR-3951","SR-3801",0.65719930369331
"107","SR-4407","SR-3801",0.0429295918619486
"108","SR-4590","SR-3801",0.955253309969326
"109","SR-6021","SR-3801",0.939181894553134
"110","SR-6269","SR-3801",0.837685763475292
"111","SR-6773","SR-3801",0.773995417781928
"112","SR-6799","SR-3801",0.783672650178585
"113","SR-7758","SR-3801",-0.601614169174639
"114","SR-8607","SR-3801",0.633427517692958
"115","SR-8621","SR-3801",0.399331591575922
"116","SR-8746","SR-3801",0.740773796167587
"117","SR-9436","SR-3801",0.973280671902857
"118","SR-9827","SR-3801",0.688144073496374
"119","SR-9907","SR-3801",0.765736760876126
"120","SR-4407","SR-3951",0.230367997545825
"121","SR-4590","SR-3951",0.603962182564624
"122","SR-6021","SR-3951",0.527830205528987
"123","SR-6269","SR-3951",0.543690775971209
"124","SR-6773","SR-3951",0.813224260678525
"125","SR-6799","SR-3951",0.786041289538476
"126","SR-7758","SR-3951",-0.227886219714295
"127","SR-8607","SR-3951",0.606826752324805
"128","SR-8621","SR-3951",0.289584860702935
"129","SR-8746","SR-3951",0.362997156544763
"130","SR-9436","SR-3951",0.673294527861042
"131","SR-9827","SR-3951",0.790691672953431
"132","SR-9907","SR-3951",0.613087291687333
"133","SR-4590","SR-4407",0.161076913101017
"134","SR-6021","SR-4407",0.00810195197765766
"135","SR-6269","SR-4407",0.0963189174907745
"136","SR-6773","SR-4407",0.157996070749441
"137","SR-6799","SR-4407",0.495250611842388
"138","SR-7758","SR-4407",0.368045599123584
"139","SR-8607","SR-4407",-0.336742562330847
"140","SR-8621","SR-4407",0.698364290935745
"141","SR-8746","SR-4407",0.431392944199407
"142","SR-9436","SR-4407",0.0630154373073983
"143","SR-9827","SR-4407",0.34957718764462
"144","SR-9907","SR-4407",-0.412584690168033
"145","SR-6021","SR-4590",0.91604295079408
"146","SR-6269","SR-4590",0.846171638617153
"147","SR-6773","SR-4590",0.749590983981079
"148","SR-6799","SR-4590",0.787780359017194
"149","SR-7758","SR-4590",-0.532696970147145
"150","SR-8607","SR-4590",0.568832027049952
"151","SR-8621","SR-4590",0.51975157429959
"152","SR-8746","SR-4590",0.839946906758661
"153","SR-9436","SR-4590",0.942413865953544
"154","SR-9827","SR-4590",0.676420644622669
"155","SR-9907","SR-4590",0.671682241693882
"156","SR-6269","SR-6021",0.857252584454652
"157","SR-6773","SR-6021",0.717314565959631
"158","SR-6799","SR-6021",0.647670107702361
