"","var1","var2","value"
"1","SR-0295","SR-0035",0.684851157061664
"2","SR-0756","SR-0035",0.800374276993338
"3","SR-2579","SR-0035",0.710365702811376
"4","SR-3011","SR-0035",0.856672336488592
"5","SR-3274","SR-0035",0.497763357229481
"6","SR-3952","SR-0035",0.786088270913
"7","SR-3981","SR-0035",0.436708603758111
"8","SR-4781","SR-0035",0.705056895932519
"9","SR-5006","SR-0035",-0.796012246908402
"10","SR-5849","SR-0035",0.605253067849727
"11","SR-6215","SR-0035",0.65961700992632
"12","SR-6971","SR-0035",0.806893539654219
"13","SR-6977","SR-0035",0.589466408549187
"14","SR-7255","SR-0035",0.56257536380043
"15","SR-7492","SR-0035",0.855034580519662
"16","SR-8929","SR-0035",-0.449084898899114
"17","SR-0756","SR-0295",0.78888623363082
"18","SR-2579","SR-0295",0.77830523489662
"19","SR-3011","SR-0295",0.764712156328921
"20","SR-3274","SR-0295",0.742187345440841
"21","SR-3952","SR-0295",0.844440371640351
"22","SR-3981","SR-0295",0.152036677270951
"23","SR-4781","SR-0295",0.858320530601339
"24","SR-5006","SR-0295",-0.785016621909522
"25","SR-5849","SR-0295",0.697964914489046
"26","SR-6215","SR-0295",0.692370603225955
"27","SR-6971","SR-0295",0.688151608283907
"28","SR-6977","SR-0295",0.206897363545968
"29","SR-7255","SR-0295",0.852221454812234
"30","SR-7492","SR-0295",0.714908055365875
"31","SR-8929","SR-0295",-0.411967653822003
"32","SR-2579","SR-0756",0.760955787151539
"33","SR-3011","SR-0756",0.677647194043639
"34","SR-3274","SR-0756",0.68298860445924
"35","SR-3952","SR-0756",0.808577972787059
"36","SR-3981","SR-0756",0.195255934314779
"37","SR-4781","SR-0756",0.789856226078863
"38","SR-5006","SR-0756",-0.782604501459217
"39","SR-5849","SR-0756",0.567659675454275
"40","SR-6215","SR-0756",0.891328084456115
"41","SR-6971","SR-0756",0.956443800337167
"42","SR-6977","SR-0756",0.417244563677237
"43","SR-7255","SR-0756",0.755284946366664
"44","SR-7492","SR-0756",0.917050689840724
"45","SR-8929","SR-0756",-0.57112838841593
"46","SR-3011","SR-2579",0.822637791045671
"47","SR-3274","SR-2579",0.831917875285784
"48","SR-3952","SR-2579",0.860904778470105
"49","SR-3981","SR-2579",0.415784667814721
"50","SR-4781","SR-2579",0.914999878861299
"51","SR-5006","SR-2579",-0.892327410478464
"52","SR-5849","SR-2579",0.721659165261315
"53","SR-6215","SR-2579",0.780043864050736
"54","SR-6971","SR-2579",0.784013477105403
"55","SR-6977","SR-2579",0.207560196978295
"56","SR-7255","SR-2579",0.871442690432186
"57","SR-7492","SR-2579",0.66671119148803
"58","SR-8929","SR-2579",-0.682170031026383
"59","SR-3274","SR-3011",0.666678786592717
"60","SR-3952","SR-3011",0.891148331350706
"61","SR-3981","SR-3011",0.453306114337707
"62","SR-4781","SR-3011",0.824256306853974
"63","SR-5006","SR-3011",-0.902072771225493
"64","SR-5849","SR-3011",0.727724253669639
"65","SR-6215","SR-3011",0.568271039060293
"66","SR-6971","SR-3011",0.692833886728664
"67","SR-6977","SR-3011",0.4064983734788
"68","SR-7255","SR-3011",0.72500915611386
"69","SR-7492","SR-3011",0.689824217403057
"70","SR-8929","SR-3011",-0.5153126979508
"71","SR-3952","SR-3274",0.859096905325442
"72","SR-3981","SR-3274",0.349480435097053
"73","SR-4781","SR-3274",0.882881269568792
"74","SR-5006","SR-3274",-0.73354518531414
"75","SR-5849","SR-3274",0.595347526719974
"76","SR-6215","SR-3274",0.732704781206788
"77","SR-6971","SR-3274",0.68902751709291
"78","SR-6977","SR-3274",0.00299066434713529
"79","SR-7255","SR-3274",0.915957971451929
"80","SR-7492","SR-3274",0.511913970666103
"81","SR-8929","SR-3274",-0.691679115280516
"82","SR-3981","SR-3952",0.421975370179126
"83","SR-4781","SR-3952",0.918785950136766
"84","SR-5006","SR-3952",-0.857757554092007
"85","SR-5849","SR-3952",0.62097045439127
"86","SR-6215","SR-3952",0.750863506669819
"87","SR-6971","SR-3952",0.816602611984008
"88","SR-6977","SR-3952",0.388114102382259
"89","SR-7255","SR-3952",0.863388057786208
"90","SR-7492","SR-3952",0.747792939028
"91","SR-8929","SR-3952",-0.603147493546629
"92","SR-4781","SR-3981",0.419847292010202
"93","SR-5006","SR-3981",-0.360931150950895
"94","SR-5849","SR-3981",0.226826107371579
"95","SR-6215","SR-3981",0.325766767333141
"96","SR-6971","SR-3981",0.33435670308905
"97","SR-6977","SR-3981",0.149867499062211
"98","SR-7255","SR-3981",0.235543696546397
"99","SR-7492","SR-3981",0.315805684313206
"100","SR-8929","SR-3981",-0.384942552012291
"101","SR-5006","SR-4781",-0.869379189532332
"102","SR-5849","SR-4781",0.688813557217115
"103","SR-6215","SR-4781",0.826357065827786
"104","SR-6971","SR-4781",0.800224348502927
"105","SR-6977","SR-4781",0.187072140576297
