,PID,Condition,CertRate,CertRateVar,Video,SecondEnd
X1,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,19
X2,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,21
X3,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,23
X4,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,25
X5,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,27
X6,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,29
X7,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,31
X8,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,33
X9,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,35
X10,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,37
X11,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,39
X12,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,41
X13,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,43
X14,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,45
X15,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,47
X16,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,49
X17,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,51
X18,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,53
X19,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,55
X20,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,57
X21,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,59
X22,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,61
X23,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,63
X24,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,65
X25,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,67
X26,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,69
X27,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,71
X28,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,73
X29,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,75
X30,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,77
X31,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,79
X32,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,81
X33,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,83
X34,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,85
X35,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,87
X36,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,89
X37,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,91
X38,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,93
X39,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,95
X40,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,97
X41,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,99
X42,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,101
X43,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,103
X44,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,105
X45,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,107
X46,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,109
X47,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,111
X48,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,113
X49,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,115
X50,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,117
X51,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,119
X52,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,121
X53,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,123
X54,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,125
X55,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,127
X56,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,129
X57,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,131
X58,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,133
X59,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,135
X60,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,137
X61,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,139
X62,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,141
X63,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,143
X64,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,145
X65,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,147
X66,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,149
X67,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,151
X68,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,153
X69,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,155
X70,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,157
X71,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,159
X72,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,161
X73,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,163
X74,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,165
X75,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,167
X76,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,169
X77,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,171
X78,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,173
X79,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,175
X80,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,177
X81,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,179
X82,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,181
X83,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,183
X84,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,185
X85,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,187
X86,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,189
X87,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,191
X88,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,193
X89,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,195
X90,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,197
X91,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,199
X92,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,201
X93,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,203
X94,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,205
X95,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,207
X96,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,209
X97,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,211
X98,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,213
X99,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,215
X100,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,217
X101,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,219
X102,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,221
X103,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,223
X104,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,225
X105,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,227
X106,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,229
X107,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,231
X108,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,233
X109,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,235
X110,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,237
X111,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,239
X112,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,241
X113,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,243
X114,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,245
X115,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,247
X116,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,249
X117,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,251
X118,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,253
X119,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,255
X120,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,257
X121,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,259
X122,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,261
X123,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,263
X124,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,265
X125,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,267
X126,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,269
X127,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,271
X128,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,273
X129,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,275
X130,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,277
X131,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,279
X132,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,281
X133,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,283
X134,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,285
