"","PID","Condition","CertRate","CertRateVar","Video","SecondEnd"
"X1100","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",19
"X2100","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",21
"X3100","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",23
"X4100","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",25
"X5100","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",27
"X661","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",29
"X710","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",31
"X810","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",33
"X910","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",35
"X1010","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",37
"X1110","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",39
"X1210","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",41
"X1310","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",43
"X1410","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",45
"X1510","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",47
"X1610","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",49
"X1710","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",51
"X1810","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",53
"X1910","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",55
"X2010","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",57
"X2110","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",59
"X2210","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",61
"X2310","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",63
"X2410","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",65
"X2510","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",67
"X2610","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",69
"X2710","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",71
"X2810","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",73
"X2910","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",75
"X3010","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",77
"X3110","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",79
"X3210","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",81
"X3310","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",83
"X3410","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",85
"X3510","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",87
"X3610","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",89
"X3710","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",91
"X3810","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",93
