Func,Video,CertRate,CertStat,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,FrameTimestamps,Participant*,date,expName,psychopyVersion,frameRate,
instrFunc,NA,NA,NA,0,"Before the task begins, we will run a very quick scan. You will see a fixation cross appear on the screen. Please just relax while this scan runs.",70.71891689999029,17.103173699928448,87.88464146037586,2022-11-16 17:45:06.808761,2022-11-16 17:46:17.585803,NA,SR-3274,2022_Nov_16_1745,certainty_neuro,2021.2.3,59.914681457745814,
instrFunc,NA,NA,NA,0,+,411.19499280001037,87.85060469992459,499.07845129002817,2022-11-16 17:46:17.585803,2022-11-16 17:53:08.803696,NA,SR-3274,2022_Nov_16_1745,certainty_neuro,2021.2.3,59.914681457745814,
instrFunc,NA,NA,NA,1,"To start this study, you will be watching an episode of television and making continous assessments about one of the characters.


Press the thumb button when ready to continue.",27.67679230007343,499.06862029992044,526.7787153902464,2022-11-16 17:53:08.803696,2022-11-16 17:53:36.503085,NA,SR-3274,2022_Nov_16_1745,certainty_neuro,2021.2.3,59.914681457745814,
instrFunc,NA,NA,NA,1,"You will first be presented with background information for the show, which is a murder mystery in which one character has been accused of murdering another.

You will be given information about the accused, the victim, and the surrounding context.


Press the thumb button when ready to continue.",19.313212899956852,526.7681837999262,546.1114377900958,2022-11-16 17:53:36.503085,2022-11-16 17:53:55.835534,NA,SR-3274,2022_Nov_16_1745,certainty_neuro,2021.2.3,59.914681457745814,
instrFunc,NA,NA,NA,1,"You will be judging how certain you are that the accused person is either innocent or guilty.


Press the thumb button when ready to continue.",9.217401499859989,546.0992278999183,555.3444830898661,2022-11-16 17:53:55.835534,2022-11-16 17:54:05.069961,NA,SR-3274,2022_Nov_16_1745,certainty_neuro,2021.2.3,59.914681457745814,
instrFunc,NA,NA,NA,1,"You will use the provided button pad to indicate your certainty of the accused's innocence or guilt.


Press the thumb button when ready to continue.",16.771318699931726,555.3323224999476,572.1437474901322,2022-11-16 17:54:05.069961,2022-11-16 17:54:21.870649,NA,SR-3274,2022_Nov_16_1745,certainty_neuro,2021.2.3,59.914681457745814,
instrFunc,NA,NA,NA,1,"Pressing the index finger button will correspond to greater certainty that the accused is guilty.

Pressing the middle finger button will correspond to greater certainty that the accused is innocent.


Press the thumb button when ready to continue.",13.473623599857092,572.1337758000009,585.6437052900437,2022-11-16 17:54:21.870649,2022-11-16 17:54:35.370237,NA,SR-3274,2022_Nov_16_1745,certainty_neuro,2021.2.3,59.914681457745814,
instrFunc,NA,NA,NA,1,"Before we begin, we will take a moment to let you practice using the buttons to indicate your ratings.


Press the thumb button when ready to continue.",10.84105859999545,585.6323130999226,596.5094145899639,2022-11-16 17:54:35.370237,2022-11-16 17:54:46.236794,NA,SR-3274,2022_Nov_16_1745,certainty_neuro,2021.2.3,59.914681457745814,
isiFunc,NA,NA,NA,NA,+,NA,596.4990035998635,598.5074421896134,2022-11-16 17:54:46.236794,2022-11-16 17:54:48.234561,NA,SR-3274,2022_Nov_16_1745,certainty_neuro,2021.2.3,59.914681457745814,
