Func,Video,CertRate,CertStat,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,FrameTimestamps,Participant*,date,expName,psychopyVersion,frameRate,
instrFunc,NA,NA,NA,0,"Before the task begins, we will run a very quick scan. You will see a fixation cross appear on the screen. Please just relax while this scan runs.",44.20861340034753,26.081545299850404,70.36833563819528,2023-03-24 09:57:15.032753,2023-03-24 09:57:59.312391,NA,SR-5849,2023_Mar_24_0957,certainty_neuro,2021.2.3,59.96997920473823,
instrFunc,NA,NA,NA,0,+,615.1039338000119,70.32164470013231,685.4650071188807,2023-03-24 09:57:59.312391,2023-03-24 10:08:14.444674,NA,SR-5849,2023_Mar_24_0957,certainty_neuro,2021.2.3,59.96997920473823,
instrFunc,NA,NA,NA,1,"To start this study, you will be watching an episode of television and making continous assessments about one of the characters.


Press the thumb button when ready to continue.",6.772662700153887,685.4559738999233,692.2671233192086,2023-03-24 10:08:14.444674,2023-03-24 10:08:21.245073,NA,SR-5849,2023_Mar_24_0957,certainty_neuro,2021.2.3,59.96997920473823,
instrFunc,NA,NA,NA,1,"You will first be presented with background information for the show, which is a murder mystery in which one character has been accused of murdering another.

You will be given information about the accused, the victim, and the surrounding context.


Press the thumb button when ready to continue.",10.186008399352431,692.2564456006512,702.4831146197394,2023-03-24 10:08:21.245073,2023-03-24 10:08:31.461579,NA,SR-5849,2023_Mar_24_0957,certainty_neuro,2021.2.3,59.96997920473823,
instrFunc,NA,NA,NA,1,"You will be judging how certain you are that the accused person is either innocent or guilty.


Press the thumb button when ready to continue.",4.80982410069555,702.4695591004565,707.312792419456,2023-03-24 10:08:31.461579,2023-03-24 10:08:36.294235,NA,SR-5849,2023_Mar_24_0957,certainty_neuro,2021.2.3,59.96997920473823,
instrFunc,NA,NA,NA,1,"You will use the provided button pad to indicate your certainty of the accused's innocence or guilt.


Press the thumb button when ready to continue.",5.803733499720693,707.3029430005699,713.1481030201539,2023-03-24 10:08:36.294235,2023-03-24 10:08:42.128689,NA,SR-5849,2023_Mar_24_0957,certainty_neuro,2021.2.3,59.96997920473823,
instrFunc,NA,NA,NA,1,"Pressing the index finger button will correspond to greater certainty that the accused is guilty.

Pressing the middle finger button will correspond to greater certainty that the accused is innocent.


Press the thumb button when ready to continue.",10.737348100170493,713.1380994999781,723.9146535182372,2023-03-24 10:08:42.128689,2023-03-24 10:08:52.894415,NA,SR-5849,2023_Mar_24_0957,certainty_neuro,2021.2.3,59.96997920473823,
instrFunc,NA,NA,NA,1,"Before we begin, we will take a moment to let you practice using the buttons to indicate your ratings.


Press the thumb button when ready to continue.",7.20247340016067,723.9029063005,731.1465885210782,2023-03-24 10:08:52.894415,2023-03-24 10:09:00.127314,NA,SR-5849,2023_Mar_24_0957,certainty_neuro,2021.2.3,59.96997920473823,
isiFunc,NA,NA,NA,NA,+,NA,731.1362808998674,733.1461869198829,2023-03-24 10:09:00.127314,2023-03-24 10:09:02.125390,NA,SR-5849,2023_Mar_24_0957,certainty_neuro,2021.2.3,59.96997920473823,
