Subject,Condition,
SR-0035,B,
SR-0208,A,
SR-0295,B,
SR-0756,B,
SR-0757,A,
SR-1371,A,
SR-2579,B,
SR-2610,A,
SR-2758,A,
SR-3011,B,
SR-3046,A,
SR-3274,B,
SR-3801,A,
SR-3951,A,
SR-3952,B,
SR-3981,B,
SR-4407,A,
SR-4590,A,
SR-4781,B,
SR-5006,B,
SR-5849,B,
SR-6021,A,
SR-6215,B,
SR-6269,A,
SR-6773,A,
SR-6799,A,
SR-6943,B,
SR-6971,B,
SR-6977,B,
SR-7255,B,
SR-7492,B,
SR-7758,A,
SR-8607,A,
SR-8621,A,
SR-8746,A,
SR-8929,B,
SR-9439,A,
SR-9827,A,
SR-9907,A,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
