Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	235	0	63	7.23	-0.5	-66.5	32.5	0.508	-56	28.4	127	-0.5	-66.5	32.5	63.9
15	51	4.78e-22	21.3	5.71	-51.5	-72.5	35.5	-46.4	-66.2	30	84.2	-42.5	-54.5	17.5	55.4
14	50	9.75e-22	21	5.5	62.5	-0.5	-12.5	58.3	-1.46	-13.1	110	62.5	-6.5	-9.5	68.5
13	48	4.1e-21	20.4	6.17	-0.5	50.5	-12.5	-1.2	48.2	-13.7	121	-0.5	50.5	-12.5	75.7
12	45	3.68e-20	19.4	6.22	53.5	-69.5	20.5	53.6	-64.7	20.8	88.9	59.5	-57.5	23.5	54.8
11	42	3.47e-19	18.5	6.37	-60.5	-9.5	-6.5	-59.5	-9.94	-11.3	98.2	-60.5	-9.5	-6.5	55.3
10	37	1.65e-17	16.8	5.25	47.5	-39.5	2.5	57.5	-35.3	5.95	93.6	47.5	-36.5	2.5	62
9	35	8.11e-17	16.1	5.77	-66.5	-27.5	2.5	-62.6	-35.6	3.68	92	-66.5	-27.5	2.5	62.9
8	13	5.96e-08	7.22	5.13	-51.5	11.5	-24.5	-52.2	8.72	-23.8	79.9	-51.5	11.5	-24.5	59.5
7	12	1.79e-07	6.75	4.77	-15.5	-51.5	2.5	-14	-51.5	3.87	105	-12.5	-45.5	-3.5	69.4
6	11	5.96e-07	6.22	4.54	5.5	-15.5	59.5	2.58	-16	62.1	48.7	2.5	-15.5	59.5	37.4
5	9	6.74e-06	5.17	4.17	-15.5	-57.5	17.5	-15.1	-60.7	19.8	84.7	-9.5	-63.5	20.5	65.2
4	8	2.44e-05	4.61	5.24	23.5	-42.5	-9.5	24.5	-41.5	-10.2	90.5	23.5	-42.5	-9.5	68.5
3	6	0.000383	3.42	4.57	-54.5	-54.5	20.5	-53	-51.6	18.4	61.7	-51.5	-48.5	14.5	50.9
2	6	0.000383	3.42	3.95	-45.5	-72.5	26.5	-44.5	-77.4	29.5	45.4	-45.5	-72.5	26.5	39.9
1	6	0.000383	3.42	4.91	35.5	-45.5	-21.5	36.9	-44.6	-22.8	112	35.5	-45.5	-21.5	77.1
