Cluster Index	Z	x	y	z	
13	9.98	5.5	-51.5	20.5
13	9.89	-0.5	-66.5	32.5
13	9.73	2.5	-69.5	26.5
13	8.96	8.5	-75.5	8.5
13	8.59	2.5	-60.5	38.5
13	8.57	-12.5	-84.5	8.5
12	8.85	-60.5	-36.5	2.5
12	8.19	-66.5	-27.5	2.5
12	7.7	-48.5	-60.5	23.5
12	7.58	-60.5	-63.5	20.5
12	7.18	-39.5	-57.5	23.5
12	7.09	-51.5	-72.5	35.5
11	8.21	59.5	-36.5	5.5
11	7.99	50.5	-9.5	-15.5
11	7.87	56.5	8.5	-15.5
11	7.72	47.5	11.5	-27.5
11	7.43	47.5	-36.5	2.5
11	7.26	59.5	-6.5	-6.5
10	10.7	41.5	-51.5	-21.5
9	8.26	-45.5	-54.5	-24.5
9	7.38	-42.5	-60.5	-21.5
9	6.77	-39.5	-45.5	-21.5
9	6.59	-36.5	-54.5	-18.5
9	4.7	-36.5	-39.5	-21.5
8	5.64	5.5	32.5	-18.5
8	4.86	5.5	41.5	-18.5
8	4.63	2.5	26.5	-18.5
8	4.16	-3.5	35.5	-18.5
7	6.81	17.5	-6.5	-15.5
7	5.18	23.5	-12.5	-12.5
7	3.55	23.5	-18.5	-18.5
6	5.6	-18.5	-39.5	-12.5
5	4.41	5.5	-72.5	-27.5
5	4	-0.5	-72.5	-27.5
5	3.59	-0.5	-69.5	-21.5
4	4.49	-3.5	53.5	-12.5
4	4.49	2.5	53.5	-12.5
3	3.97	-21.5	-60.5	-12.5
3	3.94	-18.5	-54.5	-12.5
2	4.5	-18.5	-6.5	-15.5
2	4.3	-21.5	-12.5	-12.5
1	4.59	-18.5	-45.5	17.5
