Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	697	0	132	9.23	5.5	-51.5	20.5	1.41	-63.2	20.5	145	11.5	-81.5	5.5	47.9
18	220	0	60.2	7.68	-60.5	-36.5	2.5	-56.5	-14.7	-9.72	91	-60.5	-39.5	2.5	42.3
17	210	0	58.3	6.75	62.5	-30.5	-0.5	56	-13.5	-6.4	86.7	47.5	-36.5	2.5	46.5
16	192	0	54.8	7.66	-51.5	-72.5	35.5	-50	-66	25.8	68.8	-51.5	-72.5	35.5	37.9
15	38	7.52e-18	17.1	7.38	41.5	-51.5	-21.5	39.8	-49.4	-22.9	98.1	41.5	-57.5	-21.5	61.9
14	32	9.38e-16	15	6.16	53.5	-69.5	20.5	55.6	-64.7	18.6	57.5	53.5	-69.5	20.5	35.8
13	32	9.38e-16	15	6.48	-39.5	-45.5	-24.5	-39.2	-50.7	-22.1	102	-42.5	-48.5	-24.5	54.5
12	30	5.01e-15	14.3	5.44	-66.5	-21.5	8.5	-60.9	-17.3	6.02	66.2	-63.5	-12.5	5.5	44.1
11	22	6.15e-12	11.2	5.22	-3.5	50.5	-9.5	1.12	50.4	-14.5	61.5	-3.5	50.5	-9.5	47.1
10	18	2.97e-10	9.53	6.3	50.5	-78.5	2.5	51.8	-75.2	4.22	54.4	50.5	-78.5	2.5	37.1
9	11	5.96e-07	6.22	4.36	-21.5	-48.5	14.5	-18.8	-43.6	16.1	44.1	-21.5	-45.5	17.5	35.5
8	10	1.97e-06	5.71	5.72	23.5	-15.5	-12.5	23.8	-16.1	-13.3	83.2	23.5	-15.5	-12.5	57.4
7	8	2.44e-05	4.61	4.84	-21.5	-15.5	-12.5	-25.1	-17.3	-11.5	78.9	-24.5	-15.5	-12.5	57.7
6	8	2.44e-05	4.61	5	-18.5	-6.5	-15.5	-16.3	-10.4	-15.9	76	-15.5	-12.5	-18.5	61.8
5	8	2.44e-05	4.61	4.75	23.5	-36.5	-12.5	23.9	-39.9	-10.3	55.5	23.5	-36.5	-12.5	43.4
4	7	9.35e-05	4.03	4.48	-24.5	-12.5	65.5	-27.9	-14.1	63.4	26	-30.5	-12.5	65.5	22.4
3	7	9.35e-05	4.03	4.87	-24.5	-45.5	-6.5	-25.3	-46.7	-5.32	55	-24.5	-45.5	-6.5	40.5
2	6	0.000383	3.42	4.17	17.5	-39.5	20.5	15	-37.5	18.6	36.7	17.5	-39.5	20.5	31.8
1	6	0.000383	3.42	4.89	2.5	35.5	-15.5	3.49	32.2	-16.9	65.9	5.5	35.5	-15.5	51.6
