Cluster Index	Z	x	y	z	
16	9	-0.5	-66.5	32.5
16	8.67	5.5	-51.5	20.5
16	7.93	-9.5	-54.5	29.5
16	7.84	8.5	-51.5	29.5
16	7.67	2.5	-60.5	38.5
16	7.15	-9.5	-54.5	41.5
15	7.22	62.5	-36.5	5.5
15	6.89	56.5	11.5	-18.5
15	6.72	50.5	-9.5	-15.5
15	6.7	53.5	-69.5	20.5
15	6.58	50.5	-57.5	17.5
15	6.58	62.5	-0.5	-12.5
14	7.33	-60.5	-9.5	-6.5
14	7.23	-66.5	-27.5	2.5
14	7.21	-39.5	-57.5	23.5
14	6.63	-54.5	-51.5	17.5
14	6.54	-51.5	11.5	-24.5
14	6.31	-51.5	-69.5	14.5
13	6.2	-0.5	50.5	-12.5
13	5.41	5.5	41.5	-15.5
13	4.62	2.5	29.5	-21.5
13	4.35	-0.5	44.5	-15.5
13	3.57	-3.5	59.5	-9.5
12	7.3	41.5	-54.5	-21.5
11	6.9	23.5	-42.5	-9.5
11	4.16	14.5	-30.5	-12.5
10	7.01	-42.5	-51.5	-21.5
10	5.82	-39.5	-45.5	-24.5
10	5.7	-42.5	-60.5	-21.5
10	4.93	-36.5	-54.5	-18.5
10	4.72	-45.5	-54.5	-27.5
9	4.42	50.5	-3.5	-3.5
9	4.01	59.5	5.5	-0.5
9	3.74	53.5	-3.5	5.5
9	3.52	53.5	5.5	-3.5
8	5.68	-21.5	-39.5	-12.5
7	5.58	-51.5	20.5	-21.5
7	4.31	-48.5	20.5	-27.5
7	3.72	-36.5	20.5	-27.5
6	4.47	11.5	-72.5	-3.5
5	4.9	-21.5	-12.5	-12.5
5	4.15	-21.5	-6.5	-9.5
4	4.87	17.5	-6.5	-15.5
3	4.37	-3.5	50.5	38.5
3	3.76	-6.5	47.5	29.5
2	4.37	-18.5	-69.5	-30.5
1	3.96	-30.5	23.5	44.5
